x           | q          | c2g (File 1)    | c2g (File 2)    | Abs Diff      | Rel Diff %
----------------------------------------------------------------------------------------
1.0e-05     | 1.30000    | 1.66711e+06     | 1.66662e+06     | 4.90466e+02   | 0.02943%
1.0e-05     | 1.36665    | 1.74122e+06     | 1.74077e+06     | 4.47485e+02   | 0.02571%
1.0e-05     | 1.43672    | 1.81237e+06     | 1.81361e+06     | 1.23925e+03   | 0.06833%
1.0e-05     | 1.51038    | 1.88130e+06     | 1.88458e+06     | 3.27862e+03   | 0.17397%
1.0e-05     | 1.58782    | 1.95754e+06     | 1.95296e+06     | 4.57818e+03   | 0.23442%
1.0e-05     | 1.66923    | 2.03016e+06     | 2.01780e+06     | 1.23586e+04   | 0.61248%
1.0e-05     | 1.75482    | 2.08508e+06     | 2.07835e+06     | 6.73067e+03   | 0.32385%
1.0e-05     | 1.84479    | 2.13239e+06     | 2.13372e+06     | 1.32882e+03   | 0.06228%
1.0e-05     | 1.93937    | 2.18163e+06     | 2.18302e+06     | 1.38775e+03   | 0.06357%
1.0e-05     | 2.03881    | 2.22465e+06     | 2.22524e+06     | 5.91671e+02   | 0.02659%
1.0e-05     | 2.14334    | 2.25871e+06     | 2.25940e+06     | 6.93717e+02   | 0.03070%
1.0e-05     | 2.25323    | 2.28674e+06     | 2.28455e+06     | 2.18754e+03   | 0.09575%
1.0e-05     | 2.36875    | 2.30320e+06     | 2.30037e+06     | 2.82557e+03   | 0.12283%
1.0e-05     | 2.49020    | 2.30223e+06     | 2.30652e+06     | 4.29203e+03   | 0.18608%
1.0e-05     | 2.61788    | 2.30419e+06     | 2.30185e+06     | 2.33828e+03   | 0.10158%
1.0e-05     | 2.75210    | 2.28631e+06     | 2.28544e+06     | 8.65540e+02   | 0.03787%
1.0e-05     | 2.89320    | 2.25583e+06     | 2.25652e+06     | 6.93004e+02   | 0.03071%
1.0e-05     | 3.04154    | 2.21202e+06     | 2.21466e+06     | 2.63590e+03   | 0.11902%
1.0e-05     | 3.19748    | 2.15440e+06     | 2.15911e+06     | 4.70711e+03   | 0.21801%
1.0e-05     | 3.36142    | 2.08255e+06     | 2.08872e+06     | 6.17111e+03   | 0.29545%
1.0e-05     | 3.53377    | 1.99611e+06     | 2.00355e+06     | 7.44142e+03   | 0.37141%
1.0e-05     | 3.71495    | 1.89471e+06     | 1.90323e+06     | 8.51894e+03   | 0.44760%
1.0e-05     | 3.90542    | 1.77804e+06     | 1.78837e+06     | 1.03304e+04   | 0.57764%
1.0e-05     | 4.10565    | 1.64578e+06     | 1.65952e+06     | 1.37393e+04   | 0.82791%
1.0e-05     | 4.31615    | 1.49764e+06     | 1.51553e+06     | 1.78869e+04   | 1.18024%
1.0e-05     | 4.53745    | 1.33332e+06     | 1.35561e+06     | 2.22884e+04   | 1.64416%
1.0e-05     | 4.77009    | 1.15279e+06     | 1.17876e+06     | 2.59688e+04   | 2.20307%
1.0e-05     | 5.01465    | 9.56314e+05     | 9.86658e+05     | 3.03436e+04   | 3.07540%
1.0e-05     | 5.27176    | 7.44418e+05     | 7.80408e+05     | 3.59905e+04   | 4.61175%
1.0e-05     | 5.54205    | 5.18010e+05     | 5.59336e+05     | 4.13258e+04   | 7.38836%
1.0e-05     | 5.82620    | 2.76855e+05     | 3.20265e+05     | 4.34096e+04   | 13.55428%
1.0e-05     | 6.12491    | 1.88097e+04     | 6.38938e+04     | 4.50841e+04   | 70.56100%
1.0e-05     | 6.43894    | -2.59115e+05    | -2.08042e+05    | 5.10733e+04   | 24.54955%
1.0e-05     | 6.76907    | -5.60703e+05    | -4.95254e+05    | 6.54488e+04   | 13.21520%
1.0e-05     | 7.11613    | -8.85830e+05    | -7.94865e+05    | 9.09655e+04   | 11.44415%
1.0e-05     | 7.48098    | -1.22502e+06    | -1.10988e+06    | 1.15142e+05   | 10.37433%
1.0e-05     | 7.86454    | -1.56317e+06    | -1.44082e+06    | 1.22352e+05   | 8.49182%
1.0e-05     | 8.26777    | -1.87867e+06    | -1.78719e+06    | 9.14803e+04   | 5.11867%
1.0e-05     | 8.69166    | -2.15634e+06    | -2.15029e+06    | 6.04572e+03   | 0.28116%
1.0e-05     | 9.13729    | -2.41423e+06    | -2.52920e+06    | 1.14966e+05   | 4.54556%
1.0e-05     | 9.60577    | -2.68660e+06    | -2.92416e+06    | 2.37556e+05   | 8.12392%
1.0e-05     | 10.09827   | -3.02361e+06    | -3.33494e+06    | 3.11326e+05   | 9.33530%
1.0e-05     | 10.61602   | -3.47628e+06    | -3.76164e+06    | 2.85359e+05   | 7.58603%
1.0e-05     | 11.16032   | -4.03885e+06    | -4.20242e+06    | 1.63573e+05   | 3.89235%
1.0e-05     | 11.73252   | -4.67793e+06    | -4.65728e+06    | 2.06515e+04   | 0.44342%
1.0e-05     | 12.33406   | -5.33959e+06    | -5.12625e+06    | 2.13340e+05   | 4.16171%
1.0e-05     | 12.96644   | -5.95723e+06    | -5.60893e+06    | 3.48305e+05   | 6.20983%
1.0e-05     | 13.63124   | -6.51835e+06    | -6.10784e+06    | 4.10512e+05   | 6.72107%
1.0e-05     | 14.33013   | -7.03983e+06    | -6.62182e+06    | 4.18008e+05   | 6.31258%
1.0e-05     | 15.06485   | -7.55072e+06    | -7.15078e+06    | 3.99940e+05   | 5.59296%
1.0e-05     | 15.83724   | -8.09116e+06    | -7.69476e+06    | 3.96395e+05   | 5.15149%
